trendTime,three
2023-04-19 14:20:46,2.33
2023-04-19 15:20:47,2.34
2023-04-19 16:22:46,2.31
2023-04-19 17:22:45,2.33
2023-04-19 18:28:59,2.32
2023-04-19 19:28:58,2.32
2023-04-19 20:28:58,2.34
2023-04-19 21:29:49,2.31
2023-04-19 22:29:50,2.33
2023-04-19 23:29:54,2.3
2023-04-20 00:29:58,2.35
2023-04-20 01:29:57,2.32
2023-04-20 02:29:58,2.33
2023-04-20 03:29:59,2.31
2023-04-20 04:29:58,2.33
2023-04-20 05:29:59,2.32
2023-04-20 06:30:01,2.33
2023-04-20 07:30:31,2.33
2023-04-20 08:30:33,2.34
2023-04-20 09:30:37,2.33
2023-04-20 10:30:38,2.34
2023-04-20 11:35:55,2.33
2023-04-20 12:35:53,2.32
2023-04-20 13:35:50,2.31
2023-04-20 14:35:48,2.3
2023-04-20 15:42:09,2.3
2023-04-20 16:42:10,2.3
2023-04-20 17:42:12,2.31
2023-04-20 18:42:13,2.31
2023-04-20 19:43:05,2.33
2023-04-20 20:43:07,2.32
2023-04-20 21:43:06,2.32
2023-04-20 22:43:08,2.34
2023-04-20 23:43:09,2.32
2023-04-21 00:43:11,2.33
2023-04-21 01:43:11,2.32
2023-04-21 02:43:09,2.32
2023-04-21 03:43:06,2.32
2023-04-21 04:43:09,2.32
2023-04-21 05:43:10,2.31
2023-04-21 06:43:09,2.34
2023-04-21 07:43:27,2.33
2023-04-21 08:43:25,2.32
2023-04-21 09:43:25,2.33
2023-04-21 10:48:49,2.31
2023-04-21 11:48:46,2.35
2023-04-21 12:48:56,2.36
2023-04-21 13:48:57,2.32
2023-04-21 14:48:57,2.34
2023-04-21 15:48:58,2.3
2023-04-21 16:49:06,2.33
2023-04-21 17:49:04,2.32
2023-04-21 18:49:03,2.33
2023-04-21 19:49:49,2.32
2023-04-21 20:49:47,2.34
2023-04-21 21:49:59,2.33
2023-04-21 22:50:02,2.31
2023-04-21 23:50:03,2.31
2023-04-22 00:50:01,2.35
2023-04-22 01:50:00,2.33
2023-04-22 02:50:44,2.32
2023-04-22 03:50:42,2.34
2023-04-22 04:51:02,2.33
2023-04-22 05:51:00,2.36
2023-04-22 06:51:00,2.35
2023-04-22 07:50:57,2.3
2023-04-22 08:50:58,2.32
2023-04-22 09:56:54,2.32
2023-04-22 10:56:58,2.32
2023-04-22 11:56:57,2.34
2023-04-22 12:58:13,2.34
2023-04-22 13:58:14,2.34
2023-04-22 14:58:09,2.31
2023-04-22 15:58:11,2.3
2023-04-22 17:01:03,2.31
2023-04-22 18:01:02,2.32
2023-04-22 19:01:01,2.3
2023-04-22 20:08:16,2.31
2023-04-22 21:08:12,2.31
2023-04-22 22:10:38,2.35
2023-04-22 23:10:37,2.34
2023-04-23 00:10:35,2.34
2023-04-23 01:12:41,2.31
2023-04-23 02:12:42,2.31
2023-04-23 03:12:41,2.31
2023-04-23 04:12:42,2.34
2023-04-23 05:12:43,2.3
2023-04-23 06:18:35,2.32
2023-04-23 07:18:36,2.34
2023-04-23 08:18:35,2.33
2023-04-23 09:18:35,2.34
2023-04-23 10:18:34,2.32
2023-04-23 11:18:35,2.29
2023-04-23 12:19:31,2.33
2023-04-23 13:19:33,2.33
2023-04-23 14:19:29,2.32
2023-04-23 15:21:27,2.33
2023-04-23 16:21:25,2.33
2023-04-23 17:21:26,2.34
2023-04-23 18:21:26,2.31
2023-04-23 19:21:23,2.33
2023-04-23 20:21:22,2.34
2023-04-23 21:21:17,2.32
2023-04-23 22:21:13,2.33
2023-04-23 23:21:15,2.31
2023-04-24 00:21:16,2.32
2023-04-24 01:21:11,2.31
2023-04-24 02:21:10,2.31
2023-04-24 03:21:10,2.32
2023-04-24 04:21:06,2.32
2023-04-24 05:21:06,2.33
2023-04-24 06:21:04,2.33
2023-04-24 07:21:26,2.33
2023-04-24 08:21:26,2.33
2023-04-24 09:21:24,2.35
2023-04-24 10:28:26,2.32
2023-04-24 11:28:23,2.32
2023-04-24 12:31:31,2.32
2023-04-24 13:31:28,2.32
2023-04-24 14:31:27,2.33
2023-04-24 15:31:28,2.33
2023-04-24 16:31:27,2.34
2023-04-24 17:31:22,2.33
2023-04-24 18:33:11,2.31
2023-04-24 19:33:09,2.33
2023-04-24 20:38:39,2.34
2023-04-24 21:38:38,2.32
2023-04-24 22:38:40,2.34
2023-04-24 23:38:39,2.3
2023-04-25 00:38:37,2.31
2023-04-25 01:38:36,2.32
2023-04-25 02:40:11,2.34
2023-04-25 03:40:06,2.32
2023-04-25 04:40:02,2.32
2023-04-25 05:47:15,2.34
2023-04-25 06:51:05,2.31
2023-04-25 07:51:04,2.32
2023-04-25 08:51:09,2.33
2023-04-25 09:51:05,2.32
2023-04-25 10:51:54,2.33
2023-04-25 11:51:50,2.33
2023-04-25 12:51:48,2.34
2023-04-25 13:51:48,2.33
2023-04-25 14:51:45,2.32
2023-04-25 15:51:45,2.3
2023-04-25 16:51:43,2.3
2023-04-25 17:57:35,2.33
2023-04-25 18:57:35,2.3
2023-04-25 19:57:36,2.32
2023-04-25 20:57:32,2.32
2023-04-25 21:57:33,2.35
2023-04-25 22:57:37,2.32
2023-04-25 23:57:33,2.32
2023-04-26 00:59:43,2.31
2023-04-26 01:59:44,2.31
2023-04-26 02:59:46,2.31
2023-04-26 03:59:46,2.32
2023-04-26 05:04:16,2.31
2023-04-26 06:04:17,2.32
2023-04-26 07:04:17,2.32
2023-04-26 08:08:56,2.33
2023-04-26 09:08:53,2.33
2023-04-26 10:08:58,2.32
2023-04-26 11:12:16,2.34
2023-04-26 12:12:16,2.31
2023-04-26 13:14:47,2.33
2023-04-26 14:14:46,2.32
2023-04-26 15:14:49,2.32
2023-04-26 16:14:49,2.31
2023-04-26 17:14:52,2.31
2023-04-26 18:14:53,2.33
2023-04-26 19:14:51,2.32
2023-04-26 20:19:12,2.32
2023-04-26 21:19:13,2.32
2023-04-26 22:19:13,2.33
2023-04-26 23:22:41,2.35
2023-04-27 00:22:37,2.33
2023-04-27 01:22:39,2.32
2023-04-27 02:22:38,2.3
2023-04-27 03:22:35,2.33
2023-04-27 04:22:33,2.32
2023-04-27 05:22:37,2.33
2023-04-27 06:22:38,2.31
2023-04-27 07:22:36,2.32
2023-04-27 08:22:32,2.32
2023-04-27 09:22:32,2.33
2023-04-27 10:24:39,2.31
2023-04-27 11:24:42,2.33
2023-04-27 12:24:44,2.33
2023-04-27 13:24:43,2.33
2023-04-27 14:24:43,2.32
2023-04-27 15:24:48,2.3
2023-04-27 16:24:51,2.34
2023-04-27 17:24:55,2.32
2023-04-27 18:24:58,2.31
2023-04-27 19:24:56,2.33
2023-04-27 20:25:01,2.32
2023-04-27 21:25:00,2.34
2023-04-27 22:25:03,2.31
2023-04-27 23:29:31,2.32
2023-04-28 00:29:30,2.34
2023-04-28 01:29:32,2.33
2023-04-28 02:29:35,2.3
2023-04-28 03:29:36,2.31
2023-04-28 04:29:36,2.34
2023-04-28 05:29:38,2.33
2023-04-28 06:31:58,2.33
2023-04-28 07:32:02,2.35
2023-04-28 08:32:05,2.32
2023-04-28 09:32:07,2.37
2023-04-28 10:32:05,2.32
2023-04-28 11:32:54,2.33
2023-04-28 12:41:10,2.31
2023-04-28 13:41:16,2.34
2023-04-28 14:41:16,2.3
2023-04-28 15:41:17,2.32
2023-04-28 16:41:18,2.32
2023-04-28 17:44:52,2.33
2023-04-28 18:44:54,2.33
2023-04-28 19:44:57,2.33
2023-04-28 20:44:59,2.35
2023-04-28 21:44:59,2.31
2023-04-28 22:44:58,2.33
2023-04-28 23:44:58,2.34
2023-04-29 00:44:55,2.29
2023-04-29 01:44:53,2.33
2023-04-29 02:44:54,2.33
2023-04-29 03:44:55,2.31
2023-04-29 04:44:59,2.33
2023-04-29 05:45:00,2.29
2023-04-29 06:44:59,2.31
2023-04-29 07:45:01,2.34
2023-04-29 08:45:05,2.32
2023-04-29 09:45:04,2.34
2023-04-29 10:45:08,2.32
2023-04-29 11:45:09,2.32
2023-04-29 12:45:12,2.32
2023-04-29 13:45:32,2.34
2023-04-29 14:45:32,2.32
2023-04-29 15:45:32,2.32
2023-04-29 16:48:13,2.34
2023-04-29 17:48:14,2.31
2023-04-29 18:48:14,2.33
2023-04-29 19:48:45,2.33
2023-04-29 20:48:48,2.33
2023-04-29 21:48:44,2.34
2023-04-29 22:48:43,2.31
2023-04-29 23:48:47,2.31
2023-04-30 00:48:44,2.33
2023-04-30 01:48:43,2.32
2023-04-30 02:48:44,2.32
2023-04-30 03:48:46,2.33
2023-04-30 04:48:46,2.35
2023-04-30 05:49:09,2.31
2023-04-30 06:49:14,2.34
2023-04-30 07:49:11,2.33
2023-04-30 08:49:11,2.32
2023-04-30 09:49:12,2.33
2023-04-30 10:49:13,2.32
2023-04-30 11:49:10,2.33
2023-04-30 12:49:13,2.33
2023-04-30 13:49:15,2.31
2023-04-30 14:49:18,2.35
2023-04-30 15:49:21,2.33
2023-04-30 16:50:03,2.33
2023-04-30 17:50:04,2.35
2023-04-30 18:50:06,2.33
2023-04-30 19:50:08,2.31
2023-04-30 20:50:09,2.33
2023-04-30 21:50:10,2.33
2023-04-30 22:50:12,2.32
2023-04-30 23:50:15,2.31
2023-05-01 00:50:15,2.33
2023-05-01 01:51:16,2.3
2023-05-01 02:51:16,2.33
2023-05-01 03:51:14,2.31
2023-05-01 04:51:17,2.32
2023-05-01 05:51:16,2.32
2023-05-01 06:51:13,2.31
2023-05-01 07:51:14,2.31
2023-05-01 08:51:12,2.32
2023-05-01 09:51:14,2.33
2023-05-01 10:51:15,2.35
2023-05-01 11:59:16,2.31
2023-05-01 12:59:18,2.32
2023-05-01 13:59:18,2.31
2023-05-01 14:59:18,2.33
2023-05-01 15:59:17,2.37
2023-05-01 16:59:18,2.31
2023-05-01 18:05:34,2.31
2023-05-01 19:05:37,2.31
2023-05-01 20:05:38,2.34
2023-05-01 21:05:36,2.33
2023-05-01 22:05:36,2.32
2023-05-01 23:05:35,2.34
2023-05-02 00:05:36,2.31
2023-05-02 01:05:39,2.34
2023-05-02 02:05:39,2.31
2023-05-02 03:05:39,2.31
2023-05-02 04:05:40,2.34
2023-05-02 05:05:41,2.34
2023-05-02 06:05:44,2.33
2023-05-02 07:05:46,2.33
2023-05-02 08:06:18,2.34
2023-05-02 09:06:21,2.34
2023-05-02 10:06:21,2.32
2023-05-02 11:06:19,2.34
2023-05-02 12:06:38,2.33
2023-05-02 13:06:42,2.32
2023-05-02 14:06:44,2.32
2023-05-02 15:06:50,2.35
2023-05-02 16:06:51,2.34
2023-05-02 17:06:53,2.34
2023-05-02 18:08:25,2.32
2023-05-02 19:08:23,2.34
2023-05-02 20:08:24,2.34
2023-05-02 21:08:21,2.32
2023-05-02 22:08:22,2.33
2023-05-02 23:08:23,2.32
2023-05-03 00:08:26,2.32
2023-05-03 01:08:22,2.33
2023-05-03 02:08:17,2.33
2023-05-03 03:08:18,2.34
2023-05-03 04:08:15,2.33
2023-05-03 05:08:18,2.33
2023-05-03 06:08:18,2.3
2023-05-03 07:08:19,2.32
2023-05-03 08:08:16,2.33
2023-05-03 09:08:15,2.35
2023-05-03 10:08:14,2.34
2023-05-03 11:08:13,2.31
2023-05-03 12:08:12,2.34
2023-05-03 13:08:10,2.33
2023-05-03 14:08:10,2.32
2023-05-03 15:10:46,2.31
2023-05-03 16:10:49,2.32
2023-05-03 17:10:50,2.33
2023-05-03 18:10:47,2.33
2023-05-03 19:10:47,2.32
2023-05-03 20:10:50,2.35
2023-05-03 21:10:52,2.34
2023-05-03 22:10:55,2.34
2023-05-03 23:10:54,2.33
2023-05-04 00:10:52,2.32
2023-05-04 01:10:55,2.32
2023-05-04 02:10:56,2.36
2023-05-04 03:10:53,2.32
2023-05-04 04:10:52,2.34
2023-05-04 05:10:49,2.34
2023-05-04 06:10:49,2.32
2023-05-04 07:10:54,2.31
2023-05-04 08:10:56,2.34
2023-05-04 09:10:53,2.32
2023-05-04 10:10:56,2.34
2023-05-04 11:10:57,2.33
2023-05-04 12:11:00,2.34
2023-05-04 13:11:29,2.32
2023-05-04 14:11:31,2.33
2023-05-04 15:11:32,2.31
