y_test,y_pred
2571.68,2658.106
2570.1,2473.0376
2569.85,2234.2021
2561.59,2051.5186
2560.09,1961.7806
2562.69,1956.7466
2562.82,2005.0645
2567.15,2070.9714
2559.13,2129.9639
2558.29,2163.6797
2564.5,2174.1672
2559.37,2170.9336
2558.19,2158.2385
2564.06,2143.0928
2563.04,2132.223
2559.73,2124.7878
2558.97,2119.11
2564.36,2114.994
2563.84,2114.591
2561.67,2114.7937
2562.8,2114.7417
2563.16,2114.344
2564.3,2113.9277
2561.31,2113.6648
2561.92,2112.6416
2561.94,2111.5466
2561.63,2111.0232
2561.96,2110.8372
2560.3899999999994,2111.4187
2558.52,2111.132
2560.85,2109.7983
2565.92,2109.5378
2564.82,2112.0598
2559.63,2114.3945
2562.8399999999997,2113.8467
3307.19,2112.7747
4296.57,2428.9333
4528.78,3188.8364
4521.25,3933.2942
4517.23,4339.787
4519.55,4392.2207
4521.08,4232.455
4517.45,4016.997
4517.95,3848.685
4511.06,3767.1104
4511.28,3760.81
4511.27,3802.2805
4507.95,3859.6394
4517.16,3907.987
4518.82,3942.6353
4507.51,3959.7014
4506.46,3956.7122
4509.6,3943.289
4514.59,3930.2183
4515.61,3922.619
4515.93,3919.167
4511.94,3917.3982
4513.34,3914.6382
4507.79,3912.1423
4505.78,3908.0415
4515.1,3903.6323
4512.96,3904.87
4506.74,3906.183
4514.54,3904.4126
4517.44,3905.6135
4753.24,3909.6033
5756.500000000001,4016.6245
6764.03,4572.361
7780.089999999999,5542.357
8809.49,6730.2236
9584.61,7933.5405
9570.88,8910.976
9566.6,9285.118
9569.92,9176.723
9559.11,8851.533
9556.08,8525.889
9546.6,8316.818
9544.62,8243.201
9548.71,8272.582
9557.92,8356.657
9545.06,8453.827
9540.84,8523.673
9550.99,8559.478
9559.46,8573.758
9560.6,8575.125
9569.07,8567.668
9553.74,8560.74
9544.73,8545.508
9555.78,8525.948
9558.36,8515.914
9544.08,8513.491
9538.57,8507.4795
9555.91,8499.786
9540.32,8502.901
9557.94,8501.404
9551.35,8506.658
9540.67,8508.848
9550.53,8503.357
9540.23,8502.449
9553.54,8498.352
9542.19,8500.646
9544.36,8499.408
9540.34,8498.463
9548.84,8495.886
9566.63,8497.882
9540.43,8509.53
9541.23,8507.472
9537.06,8500.773
9545.4,8492.987
9542.2,8492.448
9550.68,8493.558
9558.86,8499.059
9561.24,8507.69
9553.03,8514.656
9552.18,8515.083
9543.03,8511.669
9550.46,8503.367
9560.99,8499.874
9539.94,8504.613
9551.25,8501.109
9564.99,8501.482
9543.39,8509.466
9541.25,8506.279
9548.64,8499.946
9559.31,8498.502
9541.82,8504.625
9551.01,8502.082
9568.02,8502.152
9545.91,8511.527
9554.2,8509.785
9543.95,8508.184
9548.13,8502.96
9557.19,8500.245
9560.38,8503.664
9556.87,8509.561
9559.42,8511.894
9548.45,8513.275
9556.34,8508.374
9553.81,8506.8
9548.29,8505.663
9540.68,8503.342
9556.78,8497.999
9551.2,8500.882
9567.44,8503.939
9538.26,8512.946
9544.6,8507.657
9564.98,8501.866
9558.44,8507.448
9565.84,8511.4795
9552.15,8516.821
9556.83,8514.211
9543.13,8510.872
9546.06,8502.484
9537.45,8496.603
9539.93,8490.38
9561.06,8488.911
9543.06,8500.506
9560.68,8503.816
9550.47,8511.013
9556.75,8511.3545
9552.73,8511.738
9542.29,8509.167
9539.44,8501.733
9553.42,8494.459
9540.8,8496.754
9545.51,8496.307
9540.71,8497.686
9540.06,8496.707
9540.75,8495.093
9561.54,8494.678
9541.24,8504.647
9557.92,8504.505
9545.61,8508.001
9539.36,8505.887
9555.44,8499.187
9560.75,8500.582
9557.83,8507.38
9549.9,8512.141
9543.06,8510.6875
9544.95,8504.216
9539.9,8498.863
9569.2,8493.484
9558.13,8504.222
9559.38,8511.722
9177.96,8515.797
8530.67,8342.16
8523.22,7877.4834
8513.37,7496.173
8510.46,7314.8813
8531.37,7312.281
8513.97,7419.1826
8526.73,7536.872
8541.64,7626.3433
8518.18,7674.6865
8515.52,7670.1636
8524.3,7637.5596
8520.2,7604.4736
8540.77,7578.125
8540.82,7572.4175
8538.84,7576.351
8530.6,7581.6045
8540.86,7581.7295
8525.01,7584.856
8522.23,7581.3145
8534.84,7575.7925
8528.05,7578.1187
8537.87,7579.936
8511.61,7586.4277
8509.97,7580.088
8522.25,7570.512
8540.92,7569.604
8514.53,7581.9824
8511.45,7582.2983
8532.64,7576.352
8526.19,7580.054
8539.54,7583.2266
8520.86,7591.0723
8517.55,7588.349
8529.46,7580.7017
8527.93,7579.491
8529.25,7580.94
8522.59,7583.5913
8513.21,7582.3115
7668.69,7576.062
7609.65,7183.9937
7609.14,6780.7407
7612.0,6547.0195
7606.48,6499.2334
7599.28,6569.127
7595.84,6674.835
7595.7,6761.8545
7608.89,6808.026
7601.530000000001,6821.504
7591.1,6806.515
7604.620000000001,6774.6167
7602.090000000001,6750.3486
7599.139999999999,6734.376
7609.66,6725.957
7610.27,6728.5674
7599.54,6735.3013
7590.35,6737.054
7590.35,6732.458
7605.69,6727.469
7599.79,6732.264
7611.71,6736.9243
7590.28,6746.0415
7604.8,6743.295
7599.37,6743.616
7599.150000000001,6742.296
7595.3,6741.03
7589.68,6738.2207
7593.64,6733.8726
7611.62,6732.34
7602.27,6741.227
7590.53,6746.6753
7598.79,6743.0376
7589.15,6740.644
7606.589999999999,6735.1973
7604.04,6738.797
7609.99,6743.735
7605.25,6749.685
7595.95,6751.25
8335.31,6745.7534
9268.88,7078.6465
9568.16,7835.665
9573.89,8566.615
9566.11,8949.151
9555.39,8985.219
9565.66,8817.803
9557.63,8610.62
9567.6,8451.523
9545.96,8378.327
9556.6,8366.519
9540.36,8401.757
9559.81,8444.459
9556.32,8491.064
9553.45,8524.384
9543.81,8539.625
9564.41,8536.775
9550.7,8536.862
9541.7,8529.204
9536.98,8516.289
9559.15,8502.708
9552.31,8504.813
9556.24,8508.389
9557.93,8512.059
9536.86,8515.105
9538.93,8505.882
9545.9,8497.035
9541.47,8495.045
9537.75,8494.216
9545.18,8492.273
9562.4,8494.277
9565.5,8505.513
9540.94,8517.422
9546.28,8512.681
9540.5,8505.073
9534.9,8496.997
9537.35,8488.816
9537.17,8485.793
9535.27,8486.038
9537.05,8487.387
9548.45,8490.443
9557.17,8498.29
9549.44,8508.591
9545.41,8511.775
9542.48,8508.128
9540.11,8501.508
9538.11,8494.73
9560.76,8490.471
9537.46,8499.422
9565.17,8499.188
9555.62,8508.781
9554.78,8512.776
9557.38,8513.181
9538.89,8512.242
9536.74,8502.405
9537.8,8491.805
9534.46,8486.556
9547.47,8484.481
9553.12,8491.111
8888.84,8501.022
7840.56,8204.615
6787.02,7439.7104
5781.99,6344.638
5533.5,5151.567
5543.88,4342.046
5544.9,4082.9702
5530.65,4234.428
5531.07,4564.224
5539.53,4882.8706
5541.81,5084.6934
5534.7,5144.4717
5534.04,5093.376
5534.76,4991.1626
5536.92,4888.8726
5531.38,4816.156
5540.53,4776.037
5541.35,4770.7173
5530.659999999999,4784.8643
5543.12,4800.185
5543.270000000001,4818.709
5531.86,4834.2583
5533.2,4838.7266
5533.83,4839.512
5537.100000000001,4839.3433
5531.22,4841.636
5535.23,4842.1787
5529.87,4844.104
5532.19,4843.8735
5532.01,4843.6763
5536.31,4844.2524
5541.67,4847.4707
5539.86,4853.2017
5535.38,4856.562
5530.69,4854.7935
5532.66,4849.579
5537.18,4845.5845
5532.53,4846.15
5544.58,4845.9404
5530.14,4851.3013
5534.41,4850.474
5531.360000000001,4849.01
4976.77,4846.798
3991.54,4597.2983
3011.59,3916.4136
2026.09,2922.3193
1029.8,1810.6367
52.9,737.5984
0.0,-203.42746
0.0,-715.64276
0.0,-763.058
0.0,-556.56366
0.0,-282.90787
0.0,-65.86219
0.0,42.252533
0.0,47.43459
0.0,-12.675243
0.0,-95.629326
0.0,-169.50491
0.0,-218.06213
0.0,-238.57394
0.0,-236.61829
0.0,-220.8054
0.0,-199.30275
0.0,-178.06119
0.0,-160.18533
0.0,-146.78772
0.0,-137.57565
0.0,-131.53555
0.0,-127.77268
0.0,-125.66603
0.0,-124.4243
0.0,-123.70715
0.0,-123.28411
0.0,-123.189995
0.0,-123.30023
0.0,-123.55396
0.0,-123.99847
0.0,-124.424446
0.0,-124.85161
0.0,-125.03071
0.0,-125.03419
0.0,-124.91504
0.0,-124.777466
0.0,-124.63794
0.0,-124.47319
0.0,-124.61648
0.0,-124.82338
0.0,-124.8395
0.0,-129.66374
0.0,-147.5165
0.0,-193.47858
0.0,-228.11374
16.1,-227.25035
108.78,-206.74611
1099.3,-142.70215
2035.1,258.22217
3036.84,1039.1122
4029.14,2121.292
4949.0,3330.1887
5943.69,4473.1924
6863.0,5495.4526
7867.45,6370.5786
8577.06,7183.996
8857.13,7863.3564
9243.29,8249.151
9569.25,8462.758
9558.43,8610.693
9560.75,8626.275
9560.74,8564.067
9543.74,8488.542
9560.17,8434.138
9547.91,8428.69
9565.62,8451.888
9538.44,8498.195
9550.67,8530.832
9551.2,8555.769
9562.17,8568.023
9555.85,8574.58
9552.31,8570.06
9539.63,8557.802
9543.77,8537.695
9538.95,8521.956
9535.92,8509.568
9553.63,8500.907
9552.77,8503.889
9534.39,8509.761
9556.58,8504.595
9546.6,8507.502
9546.26,8506.806
9537.15,8504.182
9535.84,8497.6875
9544.72,8491.799
9533.87,8492.008
9543.94,8489.5625
9550.72,8492.549
9538.31,8499.636
9553.31,8499.391
9546.02,8503.809
9535.45,8504.074
9543.17,8497.872
9532.07,8495.395
9542.7,8489.9
9552.61,8490.374
9544.89,8497.537
9539.63,8501.095
9554.34,8499.318
9534.97,8503.318
9534.45,8498.697
9558.93,8492.47
9555.82,8499.426
9563.39,8506.636
9556.09,8514.971
9551.4,8516.865
9534.9,8512.291
9535.3,8499.245
9544.04,8488.938
9560.44,8488.139
9552.06,8499.22
9533.26,8506.714
8698.69,8501.709
8523.37,8111.9077
8511.82,7659.0723
8518.98,7371.9917
8527.79,7294.295
8502.31,7363.904
8521.98,7476.088
8505.16,7583.244
8502.94,7640.4414
8509.56,7650.216
8526.04,7633.2354
8508.68,7613.6123
8518.54,7587.141
8521.12,7569.858
8517.6,7562.52
8511.11,7559.633
8506.67,7557.4556
8503.96,7554.81
8503.52,7552.6675
8515.37,7552.9155
8512.09,7560.343
8513.0,7566.5977
8504.23,7570.685
8502.94,7567.9697
8508.96,7563.182
8524.8,7562.779
8504.46,7571.388
8503.74,7570.2524
8520.97,7566.061
8519.88,7570.3423
8502.76,7575.6646
8523.28,7571.0024
8503.79,7574.272
8518.08,7569.553
8514.72,7570.4067
8532.62,7571.4663
8513.44,7581.0073
8516.43,7580.3853
8504.03,7577.2544
8521.86,7568.462
8503.51,7569.747
8509.79,7565.4585
8521.1,7564.092
8505.66,7570.3203
8533.1,7569.993
8504.18,7580.4365
8520.09,7576.5527
8517.17,7576.0146
8512.12,7574.9897
8519.3,7572.087
8506.04,7572.776
8523.7,7568.934
8512.83,7572.741
8532.5,7573.4746
8500.25,7581.589
8521.15,7573.977
8500.44,7572.9976
8520.52,7565.3174
8505.97,7567.5493
8525.76,7566.0938
8517.73,7573.522
8503.46,7577.7905
8503.24,7572.565
8509.46,7565.451
8504.37,7562.93
8501.05,7561.334
8510.1,7559.21
8506.92,7562.5293
8514.41,7565.1367
8520.7,7570.047
8517.5,7576.3447
8503.17,7579.194
8527.83,7572.5522
8506.24,7575.991
8522.62,7571.2354
8523.57,7573.4595
8712.34,7577.7734
9550.7,7668.397
9554.8,8140.768
9561.45,8557.82
9559.63,8767.375
9554.47,8780.98
9533.63,8682.044
9534.58,8551.048
9531.63,8451.564
9547.97,8403.136
9555.31,8407.946
9534.78,8442.23
9541.12,8471.826
9536.75,8495.32
9547.2,8506.364
9549.25,8514.205
9535.76,8517.933
9530.59,8512.152
9548.97,8501.47
9557.7,8500.552
9542.25,8507.444
9532.19,8507.082
9549.24,8499.351
9533.5,8499.109
9528.88,8494.542
9532.53,8487.923
9527.05,8484.8955
9546.18,8482.414
9544.19,8490.7
9548.48,8498.229
9534.66,8504.839
9548.74,8501.441
9548.41,8502.067
9550.24,8503.012
9552.64,8504.169
9549.48,8506.18
1511.85,8505.232
1516.9600000000003,4999.593
1516.0,1673.3387
1513.74,-253.17673
1515.4,-855.6368
1513.42,-573.31177
1516.21,154.48212
1514.67,953.1565
1514.5,1544.2013
1514.24,1806.8994
1516.0,1775.4021
1510.3999999999999,1572.2133
1512.4699999999998,1323.8779
1513.41,1122.0857
1513.11,1003.17194
1517.05,962.94147
1516.1200000000001,978.00806
1511.05,1018.97327
1515.33,1062.0253
1515.89,1098.2909
1513.86,1124.0078
1515.22,1138.551
1517.23,1145.8341
1515.1700000000003,1150.1415
1514.62,1152.0883
1511.94,1153.065
1516.94,1152.1584
1512.01,1153.9305
1515.68,1154.6074
1514.8599999999997,1155.8931
1515.23,1157.0317
1511.64,1157.9194
1516.94,1156.587
1515.46,1157.3038
1511.25,1157.7218
1515.25,1156.963
1515.55,1156.9258
1511.93,1157.8131
1513.26,1156.7705
1517.01,1155.9901
1512.98,1156.7507
1515.48,1156.476
1513.01,1157.628
1516.22,1156.9996
1517.58,1157.7179
1516.4700000000003,1159.3191
1514.87,1160.1947
1514.46,1159.8312
1516.65,1158.1294
1514.52,1157.7855
1517.31,1157.5023
1514.23,1158.2118
1514.44,1158.0051
1515.89,1157.5664
1516.84,1157.7954
1517.11,1158.9729
1516.5799999999997,1160.0717
1517.64,1160.2262
1515.95,1160.1705
1516.1,1159.5481
1515.22,1158.8988
1517.61,1158.0824
1515.67,1158.2684
1517.27,1158.5074
1517.55,1159.4949
1517.29,1160.0476
1514.83,1160.2252
1518.52,1159.9521
1514.23,1160.2666
1516.59,1158.7927
1517.67,1157.7173
1515.22,1158.0541
1515.44,1158.3512
1515.54,1158.0814
1516.29,1158.0555
1513.87,1158.0642
1517.69,1157.9218
1516.8,1158.9199
1518.03,1159.8605
1515.2400000000002,1161.0087
1517.02,1160.2303
1517.6,1159.5988
1518.63,1159.474
1518.67,1160.0387
1518.25,1160.6548
1515.32,1160.7965
1513.16,1159.448
1513.33,1156.8796
1519.92,1155.4595
1514.62,1158.004
1518.5400000000002,1158.8154
1515.5599999999997,1160.6716
1518.38,1160.4463
1515.1,1160.8187
1516.4700000000003,1159.3483
1517.83,1158.1204
1519.63,1158.7074
1517.87,1160.0188
1514.9,1160.9094
1518.1899999999998,1160.15
1517.69,1160.1338
1517.68,1159.9526
1518.16,1159.5852
1517.68,1159.8658
1519.22,1160.7142
1517.03,1161.0331
1517.11,1160.3553
1514.5,1159.7136
1517.67,1157.9143
1830.98,1158.1003
2827.95,1284.5869
3826.46,1829.6146
4622.75,2778.5247
4622.51,3867.6436
4616.22,4537.0674
4604.83,4691.3477
4611.53,4496.0576
4596.92,4188.141
4606.88,3926.796
4594.4,3791.9744
4605.27,3771.1472
4596.86,3829.9158
4601.52,3913.065
4594.76,3989.3267
4595.4,4036.4207
4601.4,4055.4456
4594.09,4056.5188
4600.74,4043.1194
4600.63,4027.8176
4594.37,4015.348
4594.33,4003.0017
4601.4,3993.6045
4602.35,3990.9402
4601.42,3991.5908
4599.71,3992.0356
4603.07,3991.2793
4593.87,3990.771
4598.01,3986.701
4599.54,3983.948
4595.9,3982.5605
4591.68,3981.7107
4592.46,3979.7412
4600.04,3978.5583
4601.47,3981.5957
4593.45,3986.0032
4592.78,3985.1284
4602.0,3982.3147
4601.23,3983.7876
4596.76,3985.6335
4602.67,3984.7837
4600.99,3986.5776
4601.66,3987.3403
4603.52,3987.9663
4593.49,3988.983
4600.85,3984.7957
4603.17,3984.052
4591.37,3985.223
4590.11,3981.531
4611.01,3977.2727
4611.69,3984.021
4608.99,3993.287
4610.43,3998.6204
4607.51,4000.5684
4605.37,3997.8552
4599.96,3993.604
4609.65,3987.4893
4606.12,3987.45
4595.38,3988.775
4600.61,3985.6655
4598.19,3984.1152
4598.48,3983.3992
4599.56,3983.2544
4610.15,3984.0671
4596.05,3989.8494
4599.05,3989.2637
4598.6,3987.1748
4598.35,3984.676
4596.37,3983.2202
4603.7,3982.2695
4598.12,3984.8203
4608.61,3985.636
4601.3,3989.6743
4606.38,3990.32
4600.38,3991.3926
4599.63,3989.1565
4601.1,3986.4631
4604.92,3985.0825
4608.09,3987.1028
4606.35,3990.7463
4606.09,3992.617
4597.14,3993.2153
4604.86,3988.4524
4598.5,3986.893
4606.78,3984.8308
4598.96,3986.9636
4602.94,3986.8027
4610.41,3987.3909
4598.04,3991.6113
4604.91,3990.0547
4599.8,3989.7275
4597.53,3987.3108
4603.91,3983.9556
4600.63,3984.9934
4610.78,3985.9995
4610.37,3991.2654
4603.2,3996.2327
4606.44,3995.3152
4598.05,3993.7502
4606.0,3988.4785
4599.45,3987.038
4606.53,3984.8188
4606.99,3986.6943
4599.83,3989.9314
4599.46,3988.9417
4598.83,3986.5454
4599.94,3984.926
4601.84,3984.4004
4608.39,3985.2263
4610.48,3989.436
4603.25,3994.6113
4604.77,3994.4111
4610.46,3992.8264
4609.1,3993.6204
4598.55,3994.2937
4602.77,3989.5708
4599.05,3986.6602
4605.92,3983.9485
4598.36,3985.7925
4597.9,3985.1519
4598.17,3983.5547
4601.48,3983.006
4598.31,3984.6165
4604.48,3984.823
4607.51,3987.9382
4607.33,3992.007
4603.88,3994.0913
4605.23,3993.383
4600.88,3992.1455
4605.3,3989.3208
4608.68,3988.1907
4600.04,3989.8752
4608.93,3988.1226
4605.4,3990.058
4610.56,3991.1453
4605.84,3993.6196
4600.88,3993.7947
4606.24,3990.2131
4604.97,3989.0676
4599.61,3988.841
4299.9,3987.086
3316.6,3852.6797
2323.24,3289.833
1337.88,2360.4285
354.03,1270.1672
16.13,206.59525
1.5,-512.2059
0.0,-801.2424
0.0,-704.85547
0.0,-438.6337
0.0,-173.46646
0.0,-1.956068
0.0,54.83802
0.0,23.08638
0.0,-52.928665
0.0,157.84293
0.0,362.30853
0.0,433.72534
0.0,380.71463
0.0,255.63374
0.0,73.4779
0.0,-85.142685
0.0,-178.61293
0.0,-205.19516
0.0,-183.01917
0.0,-135.25238
0.0,-81.4441
0.0,-34.382915
0.0,-0.11170827
0.0,20.512808
0.0,48.769455
0.0,87.4847
0.0,115.581276
0.0,123.03708
0.0,111.00429
0.0,86.20557
0.0,61.672634
0.0,35.741776
0.0,11.185136
0.0,-9.7072
0.0,-25.649006
0.0,-36.516666
0.0,-43.01416
0.0,-46.24376
0.0,-47.358906
0.0,-46.252563
0.0,-44.619762
0.0,-43.091564
0.0,-41.952763
0.0,-41.32975
0.0,-41.442505
0.0,-41.97105
0.0,-42.73297
0.0,-43.61522
0.0,-44.535942
0.0,-45.440395
0.0,-46.295315
0.0,-47.084732
0.0,-47.803574
0.0,-48.453022
0.0,-48.91852
0.0,-49.189293
0.0,-49.36521
0.0,-49.485912
0.0,-49.570698
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631004
0.0,-49.631012
